category,id,group,title,status,current_image,suggested_image,suggested_exists
"Kitchen Utensils","cat_k_bucket_1","Bucket","Standard","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/bucket.jpg",YES
"Electrical Materials and Fittings","cat_e_bulb_1","Bulb","Indicator","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/bulb.jpg",YES
"Electrical Materials and Fittings","cat_e_bulb-energy-saver_1","Bulb - Energy Saver","AKT - 10 W","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/bulb-energy-saver.jpg",YES
"Electrical Materials and Fittings","cat_e_bulb-energy-saver_2","Bulb - Energy Saver","AVC - 5 W","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/bulb-energy-saver.jpg",YES
"Electrical Materials and Fittings","cat_e_bulb-energy-saver_3","Bulb - Energy Saver","Britania - Old Bulb - 100 W","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/bulb-energy-saver.jpg",YES
"Electrical Materials and Fittings","cat_e_bulb-energy-saver_4","Bulb - Energy Saver","CY - 10 W","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/bulb-energy-saver.jpg",YES
"Electrical Materials and Fittings","cat_e_bulb-energy-saver_5","Bulb - Energy Saver","Ecomin - 15 W","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/bulb-energy-saver.jpg",YES
"Electrical Materials and Fittings","cat_e_bulb-energy-saver_6","Bulb - Energy Saver","Ecomin - 5 W","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/bulb-energy-saver.jpg",YES
"Electrical Materials and Fittings","cat_e_bulb-energy-saver_7","Bulb - Energy Saver","Ecomin - Pin and Screw - 10 W","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/bulb-energy-saver.jpg",YES
"Electrical Materials and Fittings","cat_e_bulb-energy-saver_8","Bulb - Energy Saver","Itel - 10 W","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/bulb-energy-saver.jpg",YES
"Electrical Materials and Fittings","cat_e_bulb-recheargeable_1","Bulb - Recheargeable","AKT - 18 W","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/bulb-recheargeable.jpg",YES
"Electrical Materials and Fittings","cat_e_cello-tape_1","Cello Tape","Black","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/cello-tape.jpg",YES
"Electrical Materials and Fittings","cat_e_cello-tape_2","Cello Tape","Paper","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/cello-tape.jpg",YES
"Electrical Materials and Fittings","cat_e_cello-tape_3","Cello Tape","Transparent - Big Roll","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/cello-tape.jpg",YES
"Electrical Materials and Fittings","cat_e_cello-tape_4","Cello Tape","Transparent - Small Roll","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/cello-tape.jpg",YES
"Electrical Materials and Fittings","cat_e_charger_1","Charger","Phone - SHPLUS","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/charger.jpg",YES
"Electrical Materials and Fittings","cat_e_charger_2","Charger","Phone - Tecnno","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/charger.jpg",YES
"Electrical Materials and Fittings","cat_e_charger_3","Charger","Phone - Desktop - Seven Colour","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/charger.jpg",YES
"Electrical Materials and Fittings","cat_e_charger_4","Charger","Phone - Itel - 10 W","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/charger.jpg",YES
"Electrical Materials and Fittings","cat_e_charger_5","Charger","Phone - Small White","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/charger.jpg",YES
"Kitchen Utensils","cat_k_chopper_1","Chopper","Eurosonic ES-1862 - Glass","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/chopper.jpg",YES
"Kitchen Utensils","cat_k_cling-film_1","Cling Film","Standard","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cling-film.jpg",YES
"Electrical Materials and Fittings","cat_e_clip_1","Clip","Iron Clip","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/clip.jpg",YES
"Electrical Materials and Fittings","cat_e_clip_2","Clip","Rubber - White - 1.5 mm","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/clip.jpg",YES
"Electrical Materials and Fittings","cat_e_cliper_1","Cliper","Rechargeable - WK-9400","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/cliper.jpg",YES
"Kitchen Utensils","cat_k_clipper_1","Clipper","Nova - Mini","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/clipper.jpg",YES
"Kitchen Utensils","cat_k_comb_1","Comb","HotComb","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/comb.jpg",YES
"Kitchen Utensils","cat_k_container_1","Container","Salvin - Cereal - 3 in 1","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/container.jpg",YES
"Kitchen Utensils","cat_k_container_2","Container","Salvin - Fridge - 3 in 1","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/container.jpg",YES
"Kitchen Utensils","cat_k_container_3","Container","Salvin - Fridge - 5 in 1","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/container.jpg",YES
"Kitchen Utensils","cat_k_container_4","Container","Salvin - Fridge - Snap and Go - 5 in 1","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/container.jpg",YES
"Kitchen Utensils","cat_k_container_5","Container","Set - 10 Pcs","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/container.jpg",YES
"Kitchen Utensils","cat_k_cooler_1","Cooler","Salvin - Party Cooler - 4 in 1 - Round","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/cooler.jpg",YES
"Kitchen Utensils","cat_k_cooler_2","Cooler","Salvin - Party Cooler - 4 in 1 - Square","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/cooler.jpg",YES
"Kitchen Utensils","cat_k_cooler_3","Cooler","Salvin - Red","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/cooler.jpg",YES
"Electrical Materials and Fittings","cat_e_cord_1","Cord","Oraimo Black","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/cord.jpg",YES
"Electrical Materials and Fittings","cat_e_cord_2","Cord","USB - SHPLUS White","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/cord.jpg",YES
"Kitchen Utensils","cat_k_cover_1","Cover","Nylon","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cover.jpg",YES
"Kitchen Utensils","cat_k_cover_2","Cover","Silicon","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cover.jpg",YES
"Babies Wears","cat_b_cup_1","Cup","Baby Cup with Spoon","NO-IMAGE","/images/catalog/babies-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_2","Cup","GBO Products - Golden","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_3","Cup","Glass Ware - Glass Cup by 6 - Small","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_4","Cup","Glass with Cover - Golden","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_5","Cup","Glass with Cover - White","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_6","Cup","Humble Bird - Glass Cup by 6","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_7","Cup","Kenedim","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_8","Cup","Plastic with Cover","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_9","Cup","SMP - Wine Cup - 2 Pcs","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_10","Cup","SMP - Wine Cup - 3 in 1 Short","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_11","Cup","SMP - Wine Cup - 3 Pcs","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_12","Cup","SMP - Glass - Water Cup - 3 in 1","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_13","Cup","Stainless with Cover - Big","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_14","Cup","Stainless with Cover - Small","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_15","Cup","Takeaway - 5 Packs","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_16","Cup","Unbreakable - Cup with Cover","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_17","Cup","Wine Cup - Long - Single","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cup_18","Cup","Wine Cup - Short - Single","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cup.jpg",YES
"Kitchen Utensils","cat_k_cutlery-set_1","Cutlery Set","Various - 24 Pcs - Nil","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cutlery-set.jpg",YES
"Kitchen Utensils","cat_k_cutter_1","Cutter","Pie","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cutter.jpg",YES
"Kitchen Utensils","cat_k_cutter_2","Cutter","Vegetable","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/cutter.jpg",YES
"Kitchen Utensils","cat_k_dispenser_1","Dispenser","Tooth Paste","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/dispenser.jpg",YES
"Kitchen Utensils","cat_k_dispenser_2","Dispenser","Water - Table Top","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/dispenser.jpg",YES
"Kitchen Utensils","cat_k_egg-boiler_1","Egg Boiler","YD501 - Plastic","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/egg-boiler.jpg",YES
"Electrical Materials and Fittings","cat_e_extention-wire_1","Extention Wire","Itel - ISU-2321U","MISMATCH","/images/catalog/sockets.png","/images/catalog/web/extention-wire.jpg",YES
"Electrical Materials and Fittings","cat_e_extention-wire_2","Extention Wire","JKJRoyal - Big","MISMATCH","/images/catalog/sockets.png","/images/catalog/web/extention-wire.jpg",YES
"Electrical Materials and Fittings","cat_e_extention-wire_3","Extention Wire","JKJRoyal - Small","MISMATCH","/images/catalog/sockets.png","/images/catalog/web/extention-wire.jpg",YES
"Electrical Materials and Fittings","cat_e_extention-wire_4","Extention Wire","Kincastra","MISMATCH","/images/catalog/sockets.png","/images/catalog/web/extention-wire.jpg",YES
"Electrical Materials and Fittings","cat_e_extention-wire_5","Extention Wire","KingAstra","MISMATCH","/images/catalog/sockets.png","/images/catalog/web/extention-wire.jpg",YES
"Electrical Materials and Fittings","cat_e_extention-wire_6","Extention Wire","Power Socket","MISMATCH","/images/catalog/sockets.png","/images/catalog/web/extention-wire.jpg",YES
"Electrical Materials and Fittings","cat_e_extention-wire_7","Extention Wire","Round - 002USB","MISMATCH","/images/catalog/sockets.png","/images/catalog/web/extention-wire.jpg",YES
"Electrical Materials and Fittings","cat_e_extention-wire_8","Extention Wire","Standard","MISMATCH","/images/catalog/sockets.png","/images/catalog/web/extention-wire.jpg",YES
"Electrical Materials and Fittings","cat_e_extention-wire_9","Extention Wire","USB Socket - JK204","MISMATCH","/images/catalog/sockets.png","/images/catalog/web/extention-wire.jpg",YES
"Electrical Materials and Fittings","cat_e_extention-wire_10","Extention Wire","VBT - HY-2332U","MISMATCH","/images/catalog/sockets.png","/images/catalog/web/extention-wire.jpg",YES
"Kitchen Utensils","cat_k_fan_1","Fan","DB - Standing","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/fan.jpg",YES
"Electrical Materials and Fittings","cat_e_fan_1","Fan","Foldable Small - DP-7608","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan.jpg",YES
"Electrical Materials and Fittings","cat_e_fan_2","Fan","JH-2028","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan.jpg",YES
"Electrical Materials and Fittings","cat_e_fan-desktop_1","Fan - Desktop","DP-7605","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan-desktop.jpg",YES
"Electrical Materials and Fittings","cat_e_fan-desktop_2","Fan - Desktop","Standard","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan-desktop.jpg",YES
"Electrical Materials and Fittings","cat_e_fan-foldable_1","Fan - Foldable","Standard","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan-foldable.jpg",YES
"Electrical Materials and Fittings","cat_e_fan-hand-fan_1","Fan - Hand Fan","Diandi","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan-hand-fan.jpg",YES
"Electrical Materials and Fittings","cat_e_fan-hand-fan_2","Fan - Hand Fan","DP-7635","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan-hand-fan.jpg",YES
"Electrical Materials and Fittings","cat_e_fan-hand-fan_3","Fan - Hand Fan","Fan","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan-hand-fan.jpg",YES
"Electrical Materials and Fittings","cat_e_fan-table-fan_1","Fan - Table Fan","Double Head - NO.666","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan-table-fan.jpg",YES
"Electrical Materials and Fittings","cat_e_fan-table-fan_2","Fan - Table Fan","IW8038-A","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan-table-fan.jpg",YES
"Electrical Materials and Fittings","cat_e_fan-table-fan_3","Fan - Table Fan","Mini - CTL-MF026-6","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/fan-table-fan.jpg",YES
"Kitchen Utensils","cat_k_feeder_1","Feeder","Standard","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/feeder.jpg",YES
"Kitchen Utensils","cat_k_foil-paper_1","Foil Paper","Standard","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/foil-paper.jpg",YES
"Babies Wears","cat_b_food-flask_1","Food Flask","China - Children Bowl","NO-IMAGE","/images/catalog/babies-placeholder.svg","/images/catalog/web/food-flask.jpg",YES
"Kitchen Utensils","cat_k_food-flask_2","Food Flask","Eurosonic ES - 698 - 600ML","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/food-flask.jpg",YES
"Kitchen Utensils","cat_k_food-flask_3","Food Flask","Gift Master - 800ML","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/food-flask.jpg",YES
"Kitchen Utensils","cat_k_food-flask_4","Food Flask","Haers - 600ML","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/food-flask.jpg",YES
"Kitchen Utensils","cat_k_food-flask_5","Food Flask","Insulated Pot - 1.8L","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/food-flask.jpg",YES
"Kitchen Utensils","cat_k_food-flask_6","Food Flask","Master Chef - 1L","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/food-flask.jpg",YES
"Kitchen Utensils","cat_k_food-flask_7","Food Flask","Master Chef - F880 - 800ML","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/food-flask.jpg",YES
"Kitchen Utensils","cat_k_food-flask_8","Food Flask","Master Chef - FF07 - 1.3L","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/food-flask.jpg",YES
"Kitchen Utensils","cat_k_food-flask_9","Food Flask","Masterchef - F1700 - 1.7L","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/food-flask.jpg",YES
"Kitchen Utensils","cat_k_food-flask_10","Food Flask","Masterchef - FF2413 - 1 in 1","MISMATCH","/images/catalog/cooler.png","/images/catalog/web/food-flask.jpg",YES
